id;mil_locationname;mil_type;mil_activity;mil_activitycode;kvk_businessnumber;kvk_activitycode;kvk_activity;bag_number;bag_usage;vest_name;vest_activity;vest_activitycode;vest_employeescode;woz_number;woz_usage;woz_size_normalized;longitude;latitude
1;Bedrijf 1;Type B;471;Supermarkten, warenhuizen;kvk-1;4711;Supermarkten en dergelijke winkels met een algemeen assortiment voedings- en genotmiddelen;bag-1;winkelfunctie;Bedrijf 1;Supermarkten en dergelijke winkels met een algemeen assort.;4711;6;woz-1;Supermarkt/warenhuis;2255;5.449275304;51.4453518
2;Bedrijf 2;Type B;5221.1;Autoparkeerterreinen, parkeergarages;kvk-2;6831;Bemiddeling bij handel, huur of verhuur van onroerend goed;bag-2;kantoorfunctie;Bedrijf 2;Ingenieurs en overig technisch ontwerp en advies;7112;7;woz-2;Kantoor;1564;5.509236332;51.42868233
3;Bedrijf 3;niet Wm;NA;NA;kvk-3;78201;Uitzendbureaus;bag-3;kantoorfunctie;Bedrijf 3;Uitzendbureaus;78201;3;woz-3;Cafe/bar/restaurant;90;5.527106665;51.4398707
4;Bedrijf 4;Type B;451, 452, 454;Handel in autos en motorfietsen, reparatie- en servicebedrijven;kvk-4;6420;Financiële holdings;bag-4;industriefunctie;Bedrijf 4;Reparatie van specifieke auto-onderdelen;45203;3;woz-4;opslag/distributie;550;5.457610611;51.44861416
5;Bedrijf 5;Type B;471;Supermarkten, warenhuizen;kvk-5;4711;Supermarkten en dergelijke winkels met een algemeen assortiment voedings- en genotmiddelen;bag-5;winkelfunctie;Bedrijf 5;Supermarkten en dergelijke winkels met een algemeen assort.;4711;5;woz-5;Supermarkt/warenhuis;1549;5.485921254;51.47496654
6;Bedrijf 6;Type B;561;Restaurants, cafetarias, snackbars, ijssalons met eigen ijsbereiding, viskramen e.d.;kvk-6;56101;Restaurants;bag-6;bijeenkomstfunctie;Bedrijf 6;Niet-gespecialiseerde groothandel in consumentenartikelen;46901;3;woz-6;Horeca in winkelpand;90;5.455735404;51.47271684
7;Bedrijf 7;Type B;561;Restaurants, cafetarias, snackbars, ijssalons met eigen ijsbereiding, viskramen e.d.;kvk-7;5630;Cafés;bag-7;winkelfunctie;Bedrijf 7;Cafés;5630;4;woz-7;Horeca in winkelpand;190;5.459298781;51.40770979
8;Bedrijf 8;Type B;561;Restaurants, cafetarias, snackbars, ijssalons met eigen ijsbereiding, viskramen e.d.;kvk-8;56101;Restaurants;bag-8;winkelfunctie;Bedrijf 8;Restaurants;56101;3;woz-8;Winkel;195;5.452874772;51.47080065
9;Bedrijf 9;Type B;561;Restaurants, cafetarias, snackbars, ijssalons met eigen ijsbereiding, viskramen e.d.;kvk-9;56101;Restaurants;bag-9;bijeenkomstfunctie;Bedrijf 9;Restaurants;56101;3;woz-9;Horeca in winkelpand;161;5.484431636;51.46683387
10;Bedrijf 10;Type B;852, 8531;Scholen voor basis- en algemeen voortgezet onderwijs;kvk-10;94997;Overige belangenbehartiging n.e.g.;bag-10;kantoorfunctie, onderwijsfunctie, sportfunctie;Bedrijf 10;Studiebegeleiding, vorming en onderwijs (rest);85599;8;woz-10;overig onderwijs;0;5.453042789;51.45092664
